,year,paid_work_study,paid_work_(all),work_school_travel,in_school,research/homework,job_serach,other_paid_work_study,unpaid_work,routine_housework,shopping,care_for_household_members,child_care,adult_care,care_for_non_household_members,volunteering,household_activity_travel,other_unpaid,personal_care,sleeping,eating_drinking,personal_care_travel,leisure,sports,attending_events,meeting_friends,tv_radio,other_leisure_activities,other,religion,other_(no categories),total
Australia,2006,304,248,31.0,15,10.0,0.0,0.0,172,93,22,27.0,0.0,0.0,0.0,4.0,25.0,0.0,649,513.0,87.0,49.0,297,23,5.0,10,159,100,18,10.0,8.0,1440
Austria,2008,365,303,34.0,23,1.0,2.0,1.0,135,79,16,21.0,20.0,1.0,0.0,5.0,13.0,2.0,624,496.0,77.0,51.0,308,34,10.0,81,117,66,8,3.0,5.0,1440
Belgium,2013,222,157,25.0,39,0.0,1.0,0.0,168,97,19,15.0,15.0,0.0,0.0,7.0,29.0,0.0,651,512.0,90.0,49.0,394,15,7.0,77,153,142,5,0.0,5.0,1440
Canada,2015,341,270,33.0,21,14.0,2.0,0.0,148,95,19,19.0,18.0,1.0,3.0,3.0,9.0,0.0,622,514.0,65.0,43.0,298,25,6.0,53,118,96,32,3.0,29.0,1440
Denmark,2001,260,211,29.0,13,7.0,0.0,0.0,186,107,22,20.0,0.0,0.0,11.0,4.0,22.0,0.0,643,479.0,118.0,46.0,340,25,7.0,74,132,101,11,7.0,4.0,1440
Estonia,2009,264,211,30.0,23,0.0,0.0,0.0,160,89,20,18.0,18.0,0.0,11.0,0.0,21.0,0.0,664,532.0,82.0,50.0,345,32,7.0,36,140,130,6,0.0,6.0,1440
Finland,2009,249,198,21.0,28,0.0,0.0,2.0,157,84,23,14.0,13.0,1.0,2.0,4.0,20.0,11.0,630,505.0,80.0,45.0,359,39,7.0,50,136,127,45,1.0,44.0,1440
France ,2009,235,174,26.0,24,8.0,3.0,1.0,135,97,18,14.0,13.0,1.0,1.0,0.0,4.0,1.0,743,509.0,134.0,99.0,319,17,16.0,52,125,109,8,2.0,6.0,1440
Germany,2012,290,227,33.0,15,10.0,1.0,5.0,150,81,27,12.0,11.0,1.0,6.0,7.0,17.0,2.0,638,494.0,93.0,50.0,346,28,13.0,58,126,121,16,2.0,14.0,1440
Greece,2013,226,157,23.0,23,20.0,3.0,0.0,109,55,17,11.0,10.0,1.0,6.0,0.0,20.0,0.0,707,516.0,138.0,53.0,393,33,4.0,60,169,127,5,3.0,2.0,1440
Hungary,1999,327,261,32.0,34,0.0,0.0,0.0,127,65,17,12.0,12.0,0.0,0.0,1.0,32.0,0.0,681,0.0,0.0,0.0,303,24,5.0,59,174,41,1,1.0,0.0,1440
Ireland,2005,344,280,26.0,38,0.0,0.0,0.0,129,49,16,29.0,0.0,0.0,0.0,9.0,26.0,0.0,602,488.0,78.0,37.0,341,23,50.0,42,95,131,23,5.0,18.0,1440
Italy,2013,221,160,27.0,14,13.0,4.0,3.0,131,64,23,18.0,16.0,1.0,5.0,3.0,18.0,0.0,710,514.0,129.0,67.0,366,44,7.0,73,117,126,12,6.0,6.0,1440
Japan,2016,452,360,54.0,38,0.0,0.0,0.0,41,14,15,0.0,7.0,1.0,0.0,3.0,0.0,0.0,613,448.0,91.0,74.0,292,14,0.0,15,103,160,43,0.0,43.0,1440
Korea,2009,422,282,74.0,58,9.0,0.0,0.0,45,21,6,10.0,0.0,0.0,0.0,0.0,8.0,0.0,651,461.0,107.0,83.0,314,31,2.0,43,125,113,8,7.0,1.0,1440
Latvia,2003,377,323,43.0,8,3.0,0.0,0.0,130,85,11,4.0,4.0,0.0,12.0,0.0,18.0,0.0,640,510.0,93.0,36.0,290,30,6.0,35,139,80,3,1.0,2.0,1440
Mexico,2014,486,379,55.0,39,12.0,2.0,0.0,137,90,11,20.0,15.0,4.0,7.0,3.0,6.0,0.0,605,479.0,75.0,51.0,193,19,9.0,41,74,50,20,18.0,1.0,1440
Netherlands,2005,354,279,34.0,30,12.0,0.0,0.0,133,63,22,19.0,17.0,2.0,0.0,19.0,10.0,0.0,619,498.0,61.0,60.0,301,22,29.0,78,92,80,33,7.0,27.0,1440
New Zealand,2009,338,279,29.0,21,10.0,0.0,0.0,141,76,17,16.0,16.0,0.0,6.0,4.0,22.0,0.0,639,522.0,79.0,37.0,306,19,6.0,59,132,90,16,7.0,9.0,1440
Norway,2010,277,199,36.0,35,4.0,0.0,4.0,168,56,15,14.0,14.0,0.0,0.0,6.0,23.0,55.0,615,484.0,81.0,49.0,370,21,8.0,47,140,155,9,2.0,7.0,1440
Poland,2013,276,224,28.0,16,8.0,0.0,0.0,159,101,21,21.0,20.0,1.0,8.0,8.0,0.0,0.0,657,510.0,93.0,54.0,301,27,2.0,44,147,81,46,8.0,38.0,1440
Portugal,1999,372,300,32.0,32,8.0,0.0,0.0,96,51,10,6.0,0.0,0.0,4.0,1.0,24.0,0.0,677,503.0,116.0,58.0,289,20,13.0,53,126,77,5,4.0,1.0,1440
Slovenia,2000,300,236,28.0,21,15.0,0.0,0.0,166,114,15,11.0,11.0,0.0,9.0,1.0,16.0,0.0,632,501.0,89.0,41.0,337,35,5.0,63,133,100,5,3.0,2.0,1440
Spain,2009,236,181,24.0,18,8.0,4.0,1.0,146,70,20,25.0,23.0,2.0,3.0,1.0,19.0,8.0,697,520.0,128.0,48.0,347,47,10.0,53,140,97,14,4.0,10.0,1440
Sweden,2010,322,268,21.0,10,0.0,0.0,0.0,154,79,13,17.0,13.0,4.0,0.0,0.0,16.0,4.0,573,503.0,70.0,3.0,314,18,6.0,27,124,138,77,0.0,0.0,1440
Turkey,2014,284,239,0.0,45,0.0,0.0,0.0,85,28,13,10.0,9.0,2.0,34.0,0.0,0.0,0.0,693,526.0,167.0,0.0,297,14,3.0,68,135,78,80,0.0,80.0,1440
United Kingdom,2014,309,228,49.0,15,14.0,2.0,1.0,140,75,23,17.0,15.0,3.0,5.0,2.0,18.0,0.0,635,504.0,80.0,50.0,327,23,6.0,42,145,110,30,4.0,26.0,1440
United States,2016,335,275,26.0,19,11.0,3.0,0.0,150,76,18,20.0,18.0,1.0,2.0,5.0,25.0,4.0,630,519.0,63.0,49.0,305,24,6.0,40,157,78,20,10.0,10.0,1440
China,2008,390,308,56.0,26,0.0,0.0,0.0,91,48,15,13.0,0.0,0.0,2.0,1.0,12.0,0.0,696,540.0,104.0,52.0,248,24,3.0,22,132,67,15,0.0,15.0,1440
India,1999,391,318,44.0,14,14.0,0.0,0.0,52,19,14,8.0,0.0,0.0,1.0,0.0,10.0,0.0,703,534.0,87.0,81.0,283,9,6.0,81,68,119,12,12.0,0.0,1440
South Africa,2000,294,196,44.0,30,13.0,0.0,11.0,103,68,8,3.0,3.0,0.0,0.0,2.0,8.0,14.0,695,549.0,76.0,70.0,334,9,6.0,92,139,89,13,13.0,0.0,1440
South Africa.1,2010,294,196,44.0,30,13.0,0.0,11.0,103,68,8,3.0,3.0,0.0,0.0,2.0,8.0,14.0,695,549.0,76.0,70.0,334,9,6.0,92,139,89,13,13.0,0.0,1440
